District,Sub-District,Estate,Total po...Total population,Sex ratio,< 15,15 - 39,40 - 64,65+,Male,Female,Both sexes,Never-ma...Never-married male,Never-ma...Never-married female,Cantonese,Putonghu...Putonghua and other Chinese dialects,English ...English and other languages,Hong Kong,The main...The mainland of China/ Macao/ Taiwan,Elsewhere,Primary ...Primary and below,Secondary,Post-sec...Post-secondary,Studying...Studying and living  in the same District Council district,Mass Tra...Mass Transit Railway,On foot only,Bus,School b...School bus/ school private light bus,Others,Working ...Working population,Employees,Employers,Self-emp...Self-employed and unpaid family workers,Non-work...Non-working population,Students,Non-students,Managers...Managers and administrators,Professi...Professionals and associate professionals,"Clerical...Clerical support, service and sales workers","Craft an...Craft and related workers, plant and machine operators and assemblers","Elementa...Elementary occupations , skilled agricultural and fishery workers and occupations not classifiable","Import/e...Import/export, wholesale and retail trades, accommodation and food services","Transpor...Transportation, storage, postal and courier services, information and communications, financing and insurance, real estate, professional and business services","Public a...Public administration, education, human health and social work activities, miscellaneous social and personal services","Manufact...Manufacturing, construction, and other industries",Upper qu...Upper quartile,Median,Lower qu...Lower quartile,Upper qu...Upper quartile,Median,Lower qu...Lower quartile,Upper qu...Upper quartile,Median,Lower qu...Lower quartile,Upper qu...Upper quartile,Median,Lower qu...Lower quartile,Working ...Working and living in the same District Council district(including those working at home)^,Mass Tra...Mass Transit Railway,Bus,On foot only,Public l...Public light bus,Others,Number o...Number of domestic households,1-3,4,5+,Average ...Average domestic household size,Nuclear ...Nuclear family households,Relative...Relative households,Other ho...Other households,Upper qu...Upper quartile,Median,Lower qu...Lower quartile,Upper qu...Upper quartile,Median,Lower qu...Lower quartile,Median age,Chinese,Non-Chinese,1-2,3,4,5+,Without ...Without exclusively used rooms,Per dome...Per domestic household,Per person,Upper qu...Upper quartile,Median,Lower qu...Lower quartile,"Owner-oc...Owner-occupier, with mortgage payment or loan repayment","Owner-oc...Owner-occupier, without mortgage payment and loan repayment",Sole tenant,Others ,Median m...Median monthly mortgage payment and loan repayment,Median m...Median mortgage payment and loan repayment to income ratio,Median o...Median outstanding period of mortgage payment or loan repayment,Median m...Median monthly household rent,Median h...Median household rent to income ratio,Remained...Remained in same address,Resided ...Resided in same District Council district (having migrated),Resided ...Resided in different District Council district (having migrated) ,Resided ...Resided outside Hong Kong
Central and Western,Kennedy Town,"(Kennedy Town) The Merton (New Praya, Kennedy Town 2000's private residential buildings)                                                                                                                                                                      ",2235,830,10.1%,38.4%,42.7%,8.8%,41.8,38.9,40.6,30.0%,34.3%,67.8%,9.6%,22.6%,59.6%,19.1%,21.3%,5.4%,27.4%,67.2%,39.1%,29.2%,10.9%,19.7%,20.4%,19.7%,1529,87.7%,6.9%,5.4%,706,38.4%,61.6%,27.8%,48.7%,14.1%,1.7%,7.7%,14.7%,58.6%,22.3%,4.4%,HK$71000,HK$36000,HK$20000,HK$75000,HK$43000,HK$24000,50hours,45hours,40hours,50hours,45hours,40hours,47.0%,56.0%,10.2%,0.6%,14.1%,19.1%,(N.A.)–Not available,87.1%,9.2%,3.6%,2.1,58.8%,2.6%,38.6%,HK$107000,HK$65000,HK$32490,HK$107000,HK$65000,HK$32490,47.2,79.9%,20.1%,13.1%,47.9%,34.2%,4.8%,0.0%,3.37rooms,1.58rooms,54m²,46m²,44m²,34.1%,21.5%,41.1%,3.4%,HK$17500,19.5%,19years,HK$20000,27.1%,48.8%,26.0%,11.6%,13.6%
Central and Western,Kennedy Town,(Kennedy Town) Cayman Rise (Ka Wai Man Road 2000's private residential buildings)                                                                                                                                                                             ,1218,912,16.7%,28.6%,46.7%,8.0%,40.7,42.8,41.4,24.1%,29.6%,93.7%,4.0%,2.3%,71.8%,19.3%,8.9%,5.2%,37.9%,56.8%,60.1%,29.8%,16.8%,16.8%,14.7%,21.8%,678,92.2%,2.9%,4.9%,540,44.1%,55.9%,18.7%,51.9%,17.0%,1.2%,11.2%,13.4%,45.7%,33.9%,6.9%,HK$49000,HK$26250,HK$14500,HK$50000,HK$30000,HK$18000,50hours,44hours,40hours,50hours,44hours,40hours,42.7%,43.5%,14.9%,8.1%,12.7%,20.8%,(N.A.)–Not available,62.0%,32.0%,5.9%,2.8,58.4%,16.0%,25.6%,HK$86500,HK$52900,HK$28830,HK$83240,HK$52900,HK$28830,52.2,98.2%,1.8%,2.1%,47.1%,35.5%,15.3%,0.0%,3.66rooms,1.31rooms,59m²,47m²,43m²,42.6%,35.9%,17.4%,4.1%,HK$16500,21.7%,15years,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,75.6%,9.1%,12.9%,2.4%
Central and Western,Kennedy Town,(Kennedy Town) Kwun Lung Lau (Lung Wah Street 2000's private residential buildings)                                                                                                                                                                           ,2300,891,6.8%,31.3%,41.7%,20.2%,45.2,48.2,47.2,40.1%,32.8%,92.1%,5.8%,2.1%,49.9%,46.4%,3.7%,20.7%,49.9%,29.4%,56.5%,39.4%,18.5%,6.2%,21.6%,14.4%,1276,90.0%,2.0%,8.0%,1024,23.9%,76.1%,0.8%,22.6%,45.5%,10.7%,20.4%,26.6%,37.1%,29.9%,6.4%,HK$16000,HK$12250,HK$9000,HK$16200,HK$13000,HK$10000,54hours,44hours,40hours,54hours,43hours,40hours,47.1%,62.4%,9.7%,12.6%,9.6%,5.7%,(N.A.)–Not available,78.7%,11.6%,9.7%,2.6,49.6%,21.0%,29.4%,HK$27000,HK$17560,HK$8630,HK$27000,HK$16230,HK$8630,60.1,100.0%,0.0%,52.5%,33.4%,14.1%,0.0%,0.0%,2.31rooms,0.90rooms,36m²,27m²,20m²,0.0%,0.0%,100.0%,0.0%,(N.A.)–Not available,(N.A.)–Not available,(N.A.)–Not available,HK$2880,16.5%,85.9%,8.1%,6.0%,0.0%
Central and Western,Kennedy Town,(Kennedy Town) Kwun Lung Lau (Lung Wah Street 1960's private residential buildings)                                                                                                                                                                           ,3839,920,13.0%,29.3%,39.2%,18.4%,45.8,45.5,45.7,39.6%,28.5%,93.0%,5.7%,1.3%,44.8%,52.3%,2.9%,28.1%,52.8%,19.1%,34.8%,67.2%,13.0%,4.9%,6.9%,8.0%,1773,94.4%,1.9%,3.7%,2066,37.1%,62.9%,2.0%,14.5%,41.5%,10.4%,31.6%,41.8%,30.4%,15.5%,12.3%,HK$15000,HK$11000,HK$7640,HK$15000,HK$11250,HK$8000,54hours,45hours,35hours,54hours,45hours,35hours,49.8%,50.8%,16.8%,13.7%,7.5%,11.2%,(N.A.)–Not available,66.4%,23.4%,10.3%,2.9,60.8%,17.5%,21.6%,HK$25800,HK$16900,HK$9000,HK$25800,HK$16900,HK$8710,56.9,99.2%,0.8%,60.7%,23.3%,15.2%,0.8%,0.0%,2.36rooms,0.82rooms,32m²,32m²,25m²,0.0%,0.0%,98.4%,1.6%,(N.A.)–Not available,(N.A.)–Not available,(N.A.)–Not available,HK$1480,9.7%,46.8%,25.6%,27.6%,0.0%
Central and Western,Kennedy Town,(Kennedy Town) Smithfield Terrace (Smithfield 1980's private residential buildings)                                                                                                                                                                           ,1294,926,5.5%,43.0%,40.9%,10.6%,36.3,46.8,40.4,40.5%,43.9%,76.2%,17.7%,6.2%,63.2%,30.9%,5.9%,11.1%,40.5%,48.4%,57.4%,57.4%,21.3%,0.0%,7.1%,14.2%,938,90.4%,0.0%,9.6%,356,30.3%,69.7%,0.9%,52.8%,30.1%,7.4%,9.0%,19.6%,50.7%,25.2%,4.5%,HK$31000,HK$20000,HK$10000,HK$31000,HK$20000,HK$10000,45hours,40hours,35hours,45hours,40hours,35hours,37.4%,59.9%,18.8%,1.0%,13.4%,6.9%,(N.A.)–Not available,90.6%,7.9%,1.6%,1.9,41.9%,3.1%,54.9%,HK$42000,HK$29000,HK$18600,HK$42000,HK$29000,HK$18600,51.8,95.1%,4.9%,55.2%,28.9%,12.0%,3.9%,0.0%,2.58rooms,1.39rooms,29m²,26m²,24m²,18.5%,29.6%,45.5%,6.4%,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,HK$12000,34.7%,60.6%,9.8%,14.4%,15.2%
Central and Western,Kennedy Town,(Kennedy Town) Smithfield Court (Smithfield 1980's private residential buildings)                                                                                                                                                                             ,1020,875,4.2%,32.3%,48.2%,15.3%,46.3,47.9,47.5,44.8%,33.4%,89.7%,9.5%,0.8%,70.5%,25.5%,4.0%,14.2%,51.5%,34.3%,47.6%,51.0%,4.2%,6.3%,13.3%,25.2%,696,87.2%,1.3%,11.5%,324,33.0%,67.0%,4.7%,34.6%,38.8%,2.4%,19.4%,28.7%,38.2%,25.6%,7.5%,HK$30000,HK$19800,HK$10000,HK$30000,HK$20000,HK$10250,54hours,44hours,36hours,50hours,43hours,36hours,45.0%,46.2%,20.4%,12.7%,9.0%,11.7%,(N.A.)–Not available,85.7%,14.3%,0.0%,2.2,58.9%,3.2%,37.9%,HK$50000,HK$32000,HK$13500,HK$50000,HK$32000,HK$12000,54.2,100.0%,0.0%,12.4%,60.2%,24.0%,3.4%,0.0%,3.18rooms,1.47rooms,35m²,35m²,31m²,19.7%,47.8%,22.9%,9.6%,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,HK$13000,28.0%,79.9%,5.8%,14.2%,0.0%
Central and Western,Kennedy Town,(Kennedy Town) Harbour View Garden (Catchick Street 1990's private residential buildings)                                                                                                                                                                     ,1196,718,7.5%,32.5%,48.8%,11.1%,46.3,44.0,44.4,35.7%,26.5%,85.2%,9.8%,5.0%,66.5%,22.5%,11.0%,9.5%,48.5%,42.0%,44.4%,42.3%,5.6%,16.3%,18.4%,17.3%,728,94.4%,2.7%,2.9%,468,35.0%,65.0%,7.3%,43.1%,27.3%,7.1%,15.1%,16.8%,50.4%,28.2%,4.7%,HK$45000,HK$20000,HK$12750,HK$48000,HK$24000,HK$15000,55hours,45hours,40hours,50hours,45hours,40hours,51.9%,54.9%,14.4%,5.5%,14.2%,11.0%,(N.A.)–Not available,68.8%,16.2%,15.1%,2.7,60.7%,11.7%,27.6%,HK$72160,HK$49000,HK$27290,HK$70000,HK$49000,HK$26540,51.9,95.9%,4.1%,4.7%,50.8%,44.5%,0.0%,0.0%,3.40rooms,1.26rooms,41m²,39m²,37m²,20.0%,43.8%,29.0%,7.2%,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,HK$15500,24.1%,72.4%,12.0%,13.1%,2.6%
Central and Western,Kennedy Town,(Kennedy Town) Centenary Mansion (Victoria Road - Kennedy Town Section 1980-1990's private residential buildings)                                                                                                                                             ,1391,814,12.1%,32.1%,48.3%,7.5%,45.8,39.4,42.6,32.2%,26.4%,94.0%,0.7%,5.3%,73.0%,16.3%,10.6%,3.8%,42.7%,53.5%,50.8%,44.8%,6.8%,0.0%,28.0%,20.4%,862,86.8%,4.5%,8.7%,529,46.7%,53.3%,8.9%,49.0%,25.4%,2.1%,14.6%,21.9%,30.9%,43.3%,3.9%,HK$45000,HK$20000,HK$9000,HK$45000,HK$23000,HK$12000,50hours,40hours,39hours,48hours,40hours,39hours,46.6%,55.2%,19.8%,5.2%,8.8%,11.1%,(N.A.)–Not available,74.7%,18.4%,6.9%,2.5,59.9%,13.7%,26.4%,HK$73460,HK$37000,HK$21250,HK$73460,HK$37000,HK$21250,49.2,94.9%,5.1%,14.9%,57.2%,18.4%,9.5%,0.0%,3.21rooms,1.28rooms,39m²,37m²,25m²,0.0%,7.5%,91.1%,1.5%,(N.A.)–Not available,(N.A.)–Not available,(N.A.)–Not available,HK$13500,32.4%,68.2%,20.4%,9.6%,1.8%
Central and Western,Kennedy Town,(Kennedy Town) Sai Wan Estate (Ka Wai Man Road 1950's private residential buildings)                                                                                                                                                                          ,2097,822,10.8%,40.8%,34.0%,14.4%,41.2,37.5,38.8,45.5%,43.2%,94.3%,4.2%,1.6%,56.7%,42.6%,0.6%,20.8%,54.1%,25.1%,36.8%,54.2%,17.8%,5.4%,3.8%,18.8%,1068,93.4%,0.0%,6.6%,1029,43.9%,56.1%,0.9%,16.9%,34.8%,15.3%,32.1%,31.9%,43.3%,13.1%,11.7%,HK$15500,HK$11700,HK$7750,HK$15500,HK$11700,HK$7750,50hours,40hours,25hours,50hours,40hours,25hours,50.3%,47.9%,13.7%,14.4%,13.9%,10.1%,(N.A.)–Not available,53.7%,28.1%,18.2%,3.4,76.7%,11.2%,12.0%,HK$31870,HK$20000,HK$13850,HK$31870,HK$20000,HK$13850,59.5,100.0%,0.0%,44.1%,47.5%,6.5%,2.0%,0.0%,2.47rooms,0.73rooms,43m²,35m²,35m²,0.0%,0.0%,100.0%,0.0%,(N.A.)–Not available,(N.A.)–Not available,(N.A.)–Not available,HK$1610,8.0%,94.2%,0.9%,4.9%,0.0%
Central and Western,Kennedy Town,(Kennedy Town) University Heights / 18 Pokfield Road (Pokfield Road 1990's private residential buildings)                                                                                                                                                     ,1124,762,10.5%,38.0%,45.8%,5.7%,48.1,36.9,40.4,35.7%,32.7%,78.2%,12.9%,8.8%,60.1%,27.0%,12.9%,6.9%,38.2%,55.0%,51.2%,57.2%,5.4%,6.0%,18.7%,12.7%,694,78.7%,11.5%,9.8%,430,42.8%,57.2%,21.0%,36.5%,18.2%,5.3%,19.0%,24.2%,43.9%,30.5%,1.3%,HK$50000,HK$21130,HK$11500,HK$50000,HK$26000,HK$15000,54hours,44hours,40hours,50hours,43hours,40hours,57.0%,55.7%,4.7%,17.1%,7.4%,15.1%,(N.A.)–Not available,72.6%,16.8%,10.5%,2.5,52.9%,6.3%,40.8%,HK$95000,HK$48000,HK$18600,HK$93000,HK$48000,HK$18600,51.7,92.3%,7.7%,26.9%,37.9%,23.8%,11.4%,0.0%,3.24rooms,1.29rooms,73m²,43m²,37m²,18.6%,34.3%,27.6%,19.5%,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,(@) - Figures of individual items...(@) - Figures of individual items are suppressed to ensure data confidentiality.,HK$17500,37.3%,68.2%,14.1%,7.4%,10.3%
